"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","5166","0111","2010",-1,"I","i"
"426","5166","0111","2014",0,"I","i"
"426","5166","0111","2015",0,"I","i"
"426","5166","0111","2016",0,"I","i"
"426","5166","0111","2017",0,"I","i"
"426","5166","0111","2018",0,"I","i"
"426","5166","0111","2019",0,"I","i"
"426","5166","0111","2020",0,"I","i"
"426","5166","0111","2021",0,"I","i"
"426","5166","0111","2022",0,"I","i"
"426","5166","0111","2023",0,"I","i"
"426","5510","23110","2010",57600,"I","c"
"426","5510","23110","2011",57600,"I","c"
"426","5510","23110","2012",56800,"I","c"
"426","5510","23110","2013",65600,"I","c"
"426","5510","23110","2014",51843.62,"I","c"
"426","5510","23110","2015",29441.79,"I","c"
"426","5510","23110","2016",38983.36,"I","c"
"426","5510","23110","2017",15040,"I","c"
"426","5510","23110","2018",29514.54,"I","c"
"426","5510","23110","2019",46400.33,"I","c"
"426","5510","23110","2020",57193.62,"I","c"
"426","5510","23110","2021",35298.67,"I","c"
"426","5510","23110","2022",47672.44,"I","c"
"426","5510","23110","2023",37062.35,"I","c"
"426","5610","23110","2010",12000,"E","f"
"426","5610","23110","2011",12000,"E","f"
"426","5610","23110","2012",15000,"E","f"
"426","5610","23110","2013",19777,"T","p"
"426","5610","23110","2014",24042.642,"T","s"
"426","5610","23110","2015",24295.5905,"T","s"
"426","5610","23110","2016",26004.043063,"T","s"
"426","5610","23110","2017",28359.992,"","s"
"426","5610","23110","2018",23626.8595,"T","s"
"426","5610","23110","2019",18742.592,"","s"
"426","5610","23110","2020",25541.992,"","s"
"426","5610","23110","2021",18180.797638,"I","s"
"426","5610","23110","2022",25395.2623,"","s"
"426","5610","23110","2023",32601.5732,"T","s"
"426","5910","23110","2010",50,"E","f"
"426","5910","23110","2011",50,"E","t"
"426","5910","23110","2012",50,"E","t"
"426","5910","23110","2013",18212,"T","p"
"426","5910","23110","2014",40912.452,"T","s"
"426","5910","23110","2015",24201.8355,"T","s"
"426","5910","23110","2016",35455.818625,"T","s"
"426","5910","23110","2017",19670.481,"","s"
"426","5910","23110","2018",25094.768,"T","s"
"426","5910","23110","2019",14867.77,"","s"
"426","5910","23110","2020",33816.341,"","s"
"426","5910","23110","2021",11868.612444,"I","s"
"426","5910","23110","2022",27725.9815,"","s"
"426","5910","23110","2023",26374.414,"T","s"
"426","5141","23110","2010",69550,"E","h"
"426","5141","23110","2011",69550,"E","h"
"426","5141","23110","2012",71750,"E","h"
"426","5141","23110","2013",67165,"E","h"
"426","5141","23110","2014",34973.81,"E","e"
"426","5141","23110","2015",29535.545,"E","e"
"426","5141","23110","2016",29531.584438,"E","e"
"426","5141","23110","2017",23729.511,"E","e"
"426","5141","23110","2018",28046.6315,"E","e"
"426","5141","23110","2019",50275.152,"E","e"
"426","5141","23110","2020",48919.271,"E","e"
"426","5141","23110","2021",41610.855194,"E","e"
"426","5141","23110","2022",45341.7208,"E","e"
"426","5141","23110","2023",43289.5092,"E","e"
"426","261","23110","2010",239947.5,"T","i"
"426","261","23110","2011",239947.5,"T","i"
"426","261","23110","2012",247537.5,"T","i"
"426","261","23110","2013",231719.25,"T","i"
"426","261","23110","2014",120659.6445,"T","i"
"426","261","23110","2015",101897.63025,"T","i"
"426","261","23110","2016",101883.966311,"T","i"
"426","261","23110","2017",81866.81295,"T","i"
"426","261","23110","2018",96760.878675,"T","i"
"426","261","23110","2019",173449.2744,"T","i"
"426","261","23110","2020",168771.48495,"T","i"
"426","261","23110","2021",143557.450419,"T","i"
"426","261","23110","2022",156428.93676,"T","i"
"426","261","23110","2023",149348.80674,"T","i"
"426","271","23110","2010",7580.95,"T","i"
"426","271","23110","2011",7580.95,"T","i"
"426","271","23110","2012",7820.75,"T","i"
"426","271","23110","2013",7320.985,"T","i"
"426","271","23110","2014",3812.14529,"T","i"
"426","271","23110","2015",3219.374405,"T","i"
"426","271","23110","2016",3218.942704,"T","i"
"426","271","23110","2017",2586.516699,"T","i"
"426","271","23110","2018",3057.082834,"T","i"
"426","271","23110","2019",5479.991568,"T","i"
"426","271","23110","2020",5332.200539,"T","i"
"426","271","23110","2021",4535.583216,"T","i"
"426","271","23110","2022",4942.247567,"T","i"
"426","271","23110","2023",4718.556503,"T","i"
"426","281","23110","2010",1112.8,"T","i"
"426","281","23110","2011",1112.8,"T","i"
"426","281","23110","2012",1148,"T","i"
"426","281","23110","2013",1074.64,"T","i"
"426","281","23110","2014",559.58096,"T","i"
"426","281","23110","2015",472.56872,"T","i"
"426","281","23110","2016",472.505351,"T","i"
"426","281","23110","2017",379.672176,"T","i"
"426","281","23110","2018",448.746104,"T","i"
"426","281","23110","2019",804.402432,"T","i"
"426","281","23110","2020",782.708336,"T","i"
"426","281","23110","2021",665.773683,"T","i"
"426","281","23110","2022",725.467533,"T","i"
"426","281","23110","2023",692.632147,"T","i"
"426","664","23110","2010",329.312502,"T","i"
"426","664","23110","2011",326.408875,"T","i"
"426","664","23110","2012",333.366152,"T","i"
"426","664","23110","2013",308.702176,"T","i"
"426","664","23110","2014",158.923185,"T","i"
"426","664","23110","2015",132.647565,"T","i"
"426","664","23110","2016",131.02294,"T","i"
"426","664","23110","2017",103.978279,"T","i"
"426","664","23110","2018",121.404073,"T","i"
"426","664","23110","2019",215.082062,"T","i"
"426","664","23110","2020",206.817618,"T","i"
"426","664","23110","2021",173.911465,"T","i"
"426","664","23110","2022",187.467942,"T","i"
"426","664","23110","2023",177.019152,"T","i"
"426","674","23110","2010",10.404366,"T","i"
"426","674","23110","2011",10.312628,"T","i"
"426","674","23110","2012",10.532438,"T","i"
"426","674","23110","2013",9.753199,"T","i"
"426","674","23110","2014",5.021051,"T","i"
"426","674","23110","2015",4.190894,"T","i"
"426","674","23110","2016",4.139565,"T","i"
"426","674","23110","2017",3.285111,"T","i"
"426","674","23110","2018",3.835665,"T","i"
"426","674","23110","2019",6.795346,"T","i"
"426","674","23110","2020",6.534238,"T","i"
"426","674","23110","2021",5.494594,"T","i"
"426","674","23110","2022",5.9229,"T","i"
"426","674","23110","2023",5.592779,"T","i"
"426","684","23110","2010",1.527246,"T","i"
"426","684","23110","2011",1.51378,"T","i"
"426","684","23110","2012",1.546046,"T","i"
"426","684","23110","2013",1.431662,"T","i"
"426","684","23110","2014",0.737035,"T","i"
"426","684","23110","2015",0.615177,"T","i"
"426","684","23110","2016",0.607643,"T","i"
"426","684","23110","2017",0.482218,"T","i"
"426","684","23110","2018",0.563033,"T","i"
"426","684","23110","2019",0.997482,"T","i"
"426","684","23110","2020",0.959154,"T","i"
"426","684","23110","2021",0.806546,"T","i"
"426","684","23110","2022",0.869417,"T","i"
"426","684","23110","2023",0.820958,"T","i"
"426","5166","23110","2014",0,"I","i"
"426","5166","23110","2015",0,"I","i"
"426","5166","23110","2016",0,"I","i"
"426","5166","23110","2017",0,"I","i"
"426","5166","23110","2018",0,"I","i"
"426","5166","23110","2019",0,"I","i"
"426","5166","23110","2020",0,"I","i"
"426","5166","23110","2021",0,"I","i"
"426","5166","23110","2022",0,"I","i"
"426","5166","23110","2023",0,"I","i"
"426","665","23110","2010",95.452899,"T","i"
"426","665","23110","2011",94.611268,"T","i"
"426","665","23110","2012",96.62787,"T","i"
"426","665","23110","2013",89.478892,"T","i"
"426","665","23110","2014",46.064691,"T","i"
"426","665","23110","2015",38.448569,"T","i"
"426","665","23110","2016",37.977664,"T","i"
"426","665","23110","2017",30.138632,"T","i"
"426","665","23110","2018",35.189586,"T","i"
"426","665","23110","2019",62.342627,"T","i"
"426","665","23110","2020",59.947136,"T","i"
"426","665","23110","2021",50.40912,"T","i"
"426","665","23110","2022",54.338534,"T","i"
"426","665","23110","2023",51.309899,"T","i"
"426","5510","39120.01","2010",12960,"I","c"
"426","5510","39120.01","2011",12960,"I","c"
"426","5510","39120.01","2012",12780,"I","c"
"426","5510","39120.01","2013",14760,"I","c"
"426","5510","39120.01","2014",11664.81,"I","c"
"426","5510","39120.01","2015",6624.4,"I","c"
"426","5510","39120.01","2016",8771.26,"I","c"
"426","5510","39120.01","2017",3384,"I","c"
"426","5510","39120.01","2018",6640.77,"I","c"
"426","5510","39120.01","2019",10440.07,"I","c"
"426","5510","39120.01","2020",12868.56,"I","c"
"426","5510","39120.01","2021",7059.73,"I","c"
"426","5510","39120.01","2022",10726.3,"I","c"
"426","5510","39120.01","2023",8339.03,"I","c"
"426","5610","39120.01","2014",82.205,"T","s"
"426","5610","39120.01","2015",202.88,"T","s"
"426","5610","39120.01","2016",194.009,"T","s"
"426","5610","39120.01","2017",54.077,"","s"
"426","5610","39120.01","2018",712.848,"T","s"
"426","5610","39120.01","2019",181.994,"","s"
"426","5610","39120.01","2020",51.441,"","s"
"426","5610","39120.01","2021",121.321237,"I","s"
"426","5610","39120.01","2022",88.58743,"","s"
"426","5610","39120.01","2023",1779.713,"T","s"
"426","5910","39120.01","2014",5076.925,"T","s"
"426","5910","39120.01","2015",3088.08,"T","s"
"426","5910","39120.01","2016",2729.415,"T","s"
"426","5910","39120.01","2017",2935.012,"","s"
"426","5910","39120.01","2018",1578.79,"T","p"
"426","5910","39120.01","2019",4806.669,"","s"
"426","5910","39120.01","2020",5580.714,"","s"
"426","5910","39120.01","2021",4676.611,"","s"
"426","5910","39120.01","2022",3758.06,"","s"
"426","5910","39120.01","2023",4266.968,"T","s"
"426","5520","39120.01","2010",12960,"E","e"
"426","5520","39120.01","2011",12960,"E","e"
"426","5520","39120.01","2012",12780,"E","e"
"426","5520","39120.01","2013",14760,"E","e"
"426","5520","39120.01","2014",6670.09,"E","e"
"426","5520","39120.01","2015",3739.2,"E","e"
"426","5520","39120.01","2016",6235.854,"E","e"
"426","5520","39120.01","2017",503.065,"E","e"
"426","5520","39120.01","2018",5774.828,"E","e"
"426","5520","39120.01","2019",5815.395,"E","e"
"426","5520","39120.01","2020",7339.287,"E","e"
"426","5520","39120.01","2021",2504.440237,"E","e"
"426","5520","39120.01","2022",7056.82743,"E","e"
"426","5520","39120.01","2023",5851.775,"E","e"
"426","5166","39120.01","2014",0,"I","i"
"426","5166","39120.01","2015",0,"I","i"
"426","5166","39120.01","2016",0,"I","i"
"426","5166","39120.01","2017",0,"I","i"
"426","5166","39120.01","2018",0,"I","i"
"426","5166","39120.01","2019",0,"I","i"
"426","5166","39120.01","2020",0,"I","i"
"426","5166","39120.01","2021",0,"I","i"
"426","5166","39120.01","2022",0,"I","i"
"426","5166","39120.01","2023",0,"I","i"
"426","5113","23710","2010",60,"E","u"
