"geographicAreaM49","measuredElementSuaFbs","measuredItemFbsSua","timePointYears","Value","flagObservationStatus","flagMethod"
"426","674","S2513","2011",0.043601,"I","s"
"426","674","S2513","2012",0.039426,"I","s"
"426","674","S2513","2013",0.03884,"I","s"
"426","684","S2513","2010",0.009338,"I","s"
"426","684","S2513","2011",0.0076,"I","s"
"426","684","S2513","2012",0.006872,"I","s"
"426","684","S2513","2013",0.00677,"I","s"
"426","5166","S2513","2010",-2121.564868,"I","s"
"426","5166","S2513","2011",-0.000259,"I","s"
"426","5166","S2513","2012",-564.291993,"I","s"
"426","5166","S2513","2013",-1053.771594,"I","s"
"426","665","S2513","2010",0.701698,"T","i"
"426","665","S2513","2011",0.570378,"T","i"
"426","665","S2513","2012",0.516721,"T","i"
"426","665","S2513","2013",0.509334,"T","i"
"426","5510","S2514","2010",128213,"I","s"
"426","5510","S2514","2011",73390,"I","s"
"426","5510","S2514","2012",42471,"I","s"
"426","5510","S2514","2013",86325,"I","s"
"426","5610","S2514","2010",256666.666667,"I","s"
"426","5610","S2514","2011",294444.444444,"I","s"
"426","5610","S2514","2012",303888.888889,"I","s"
"426","5610","S2514","2013",181161.333333,"I","s"
"426","5071","S2514","2010",40000,"I","s"
"426","5071","S2514","2011",20000,"I","s"
"426","5071","S2514","2012",0,"I","s"
"426","5071","S2514","2013",-60000,"I","s"
"426","5910","S2514","2010",463.333333,"I","s"
"426","5910","S2514","2011",242.222222,"I","s"
"426","5910","S2514","2012",385.555556,"I","s"
"426","5910","S2514","2013",8604.444444,"I","s"
"426","5520","S2514","2010",657.43512,"I","s"
"426","5520","S2514","2011",5504.227944,"I","s"
"426","5520","S2514","2012",4200.824018,"I","s"
"426","5520","S2514","2013",6243.167327,"I","s"
"426","5525","S2514","2010",4787.858636,"I","s"
"426","5525","S2514","2011",2740.6031,"I","s"
"426","5525","S2514","2012",3293.155803,"I","s"
"426","5525","S2514","2013",3223.634864,"I","s"
"426","5016","S2514","2010",9223.360305,"I","s"
"426","5016","S2514","2011",4895.278494,"I","s"
"426","5016","S2514","2012",5281.647247,"I","s"
"426","5016","S2514","2013",4826.222394,"I","s"
"426","5141","S2514","2010",318636.566667,"I","s"
"426","5141","S2514","2011",325563.222222,"I","s"
"426","5141","S2514","2012",325420.933333,"I","s"
"426","5141","S2514","2013",304588.866667,"I","s"
"426","261","S2514","2010",1012308.3723,"I","s"
"426","261","S2514","2011",1034314.357,"I","s"
"426","261","S2514","2012",1033862.3052,"I","s"
"426","261","S2514","2013",985500.579928,"I","s"
"426","271","S2514","2010",20934.42243,"I","s"
"426","271","S2514","2011",21389.5037,"I","s"
"426","271","S2514","2012",21380.15532,"I","s"
"426","271","S2514","2013",20481.246638,"I","s"
"426","281","S2514","2010",8603.1873,"I","s"
"426","281","S2514","2011",8790.207,"I","s"
"426","281","S2514","2012",8786.3652,"I","s"
"426","281","S2514","2013",8344.971075,"I","s"
"426","664","S2514","2010",1389.328093,"I","s"
"426","664","S2514","2011",1407.013556,"I","s"
"426","664","S2514","2012",1392.333276,"I","s"
"426","664","S2514","2013",1312.908503,"I","s"
"426","674","S2514","2010",28.731148,"I","s"
"426","674","S2514","2011",29.096881,"I","s"
"426","674","S2514","2012",28.793294,"I","s"
"426","674","S2514","2013",27.285628,"I","s"
"426","684","S2514","2010",11.807321,"I","s"
"426","684","S2514","2011",11.957622,"I","s"
"426","684","S2514","2012",11.832861,"I","s"
"426","684","S2514","2013",11.117379,"I","s"
"426","5165","S2514","2010",11111.252224,"I","s"
"426","5165","S2514","2011",8888.719553,"I","s"
"426","5165","S2514","2012",7778.158783,"I","s"
"426","5165","S2514","2013",2089.886277,"I","s"
"426","5166","S2514","2010",-0.139619,"I","s"
"426","5166","S2514","2011",0.170909,"I","s"
"426","5166","S2514","2012",-0.385851,"I","s"
"426","5166","S2514","2013",-2089.88864,"I","s"
"426","665","S2514","2010",437.308182,"T","i"
"426","665","S2514","2011",442.8749,"T","i"
"426","665","S2514","2012",438.2541,"T","i"
"426","665","S2514","2013",405.780901,"T","i"
"426","5510","S2516","2010",360,"I","s"
"426","5510","S2516","2011",362.367668,"I","s"
"426","5510","S2516","2012",375,"I","s"
"426","5510","S2516","2013",375,"I","s"
"426","5610","S2516","2010",11000,"I","s"
"426","5610","S2516","2011",11000,"I","s"
"426","5610","S2516","2012",12000,"I","s"
"426","5610","S2516","2013",11.966494,"I","s"
"426","5071","S2516","2010",-7.626459,"I","s"
"426","5071","S2516","2011",-7.414387,"I","s"
"426","5071","S2516","2012",-7.690003,"I","s"
"426","5071","S2516","2013",-8.469827,"I","s"
"426","5520","S2516","2010",0.181681,"I","s"
"426","5520","S2516","2011",0.182876,"I","s"
"426","5520","S2516","2012",0.189252,"I","s"
"426","5520","S2516","2013",0.189252,"I","s"
"426","5525","S2516","2010",18.482911,"I","s"
"426","5525","S2516","2011",18.604471,"I","s"
"426","5525","S2516","2012",19.253033,"I","s"
"426","5525","S2516","2013",19.253033,"I","s"
"426","5016","S2516","2010",22.05828,"I","s"
"426","5016","S2516","2011",22.203354,"I","s"
"426","5016","S2516","2012",22.977375,"I","s"
"426","5016","S2516","2013",22.977375,"I","s"
"426","5141","S2516","2010",11326.9,"I","s"
"426","5141","S2516","2011",11328.8,"I","s"
"426","5141","S2516","2012",12340.28,"I","s"
"426","5141","S2516","2013",353.011568,"I","s"
"426","261","S2516","2010",21068.034,"I","s"
"426","261","S2516","2011",21071.568,"I","s"
"426","261","S2516","2012",22952.9208,"I","s"
"426","261","S2516","2013",658.44,"I","s"
"426","271","S2516","2010",770.2292,"I","s"
"426","271","S2516","2011",770.3584,"I","s"
"426","271","S2516","2012",839.13904,"I","s"
"426","271","S2516","2013",24.072,"I","s"
"426","281","S2516","2010",402.10495,"I","s"
"426","281","S2516","2011",402.1724,"I","s"
"426","281","S2516","2012",438.07994,"I","s"
"426","281","S2516","2013",12.567,"I","s"
"426","664","S2516","2010",28.914521,"I","s"
